##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;2) '%d' is for indicating where another integer value is inserted, and MAY NEVER BE REMOVED! If there are more than one '%d' in a string, they may not change places. ('%.1f' is used in exactly the same way but for non-integer values ?  '%c%d' is used for values that are displayed with a '+' or '-' sign in front, DO NOT CHANGE, ADD, OR REMOVE!);;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;4) The characters '#' (hashmark), semicolon, '%' (percentage sign), '?' (paragraph sign), quotation marks and '\' (backslash) MAY NOT BE USED (except when used as control codes ? this will otherwise create serious problems!!! Quotation marks may not even be used in comments -- use a 'citation mark' (single) instead if necessary!);;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;§W = white text;;;;;;;;;;X
##;§Y = orange text;;;;;;;;;;X
##;Note that the color change will be applied to all words after the code, until the end of the line that the word is printed on. If several words should have a color change, put the code in front of each of them to be on the safe side. If only one word should have a color change, make sure to reset the color after the word.;;;;;;;;;;X
##;9) Unless otherwise specifically stated, length of words and texts does not really matter THAT much (message boxes, rollover help boxes and buttons WILL stretch to fit the text string) ? however you will notice once the translation is inserted that space IS limited in quite a few areas? so be brief, and try not to use words that are considerably longer than the english original.;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not not exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
DPERSONALITY_BARKING_BUFFOON;The Barking Buffoon is a great political dramatic actor. People see him as a strong and competent leader who will save the nation and restore it to its historical greatness. But behind his mask of bombastic rhetoric hides a weak-minded, vain simpleton. Those who really know him, know he is an incompetent man.;Le bouffon autoritaire est un excellent acteur politique. Les gens le considиrent comme un leader fort et compйtent, qui sauvera le pays et fera renaоtre sa grandeur historique. Mais derriиre son masque de rhйtorique grandiloquente, se cache un кtre simplet, vain et irrйsolu. Ceux qui le connaissent bien dйtectent en lui un incompйtent.;И un vero attore di teatro. La gente lo vede come un capo politico forte e competente in grado di salvare la nazione e riportarla agli splendori del passato. Dietro questa maschera di ampollosa retorica, tuttavia, si nasconde uno stupido sempliciotto pieno di sй. Chi lo conosce realmente, sa che и un incompetente.;El payaso bocazas es un gran actor dramбtico y polнtico. La gente lo ve como un lнder fuerte y competente que salvarб a la naciуn y le devolverб su grandeza del pasado. Pero detrбs de esta mбscara de retуrica grandilocuente se oculta un simple bobalicуn con pocas luces. Los que lo conocen de verdad saben que es un incompetente.;Das Bellende GroЯmaul ist ein groЯartiger politischer Schauspieler. Die Menschen sehen in ihm einen starken und kompetenten Fьhrer, der die Nation retten und zu ihrer historischen GrцЯe zurьckfьhren wird. Aber hinter der Maske bombastischer Rhetorik verbirgt sich ein schwдchlicher, willenloser Einfaltspinsel.;Szczekaj№cy bufon to њwietny polityczny aktor. Spoіeczeсstwo widzi w nim silnego i kompetentnego przywуdcк, ktуry uratuje narуd i przywrуci mu historyczn№ wielkoњж, ale za mask№ pustej retoryki kryje siк sіaby prostak. Ci, ktуrzy znaj№ go naprawdк, widz№ w nim czіowieka bez jakichkolwiek kompetencji.;;Шут гороховый освоил все ужимки и кривляния, необходимые на политической сцене. Народ считает его сильным и компетентным лидером, который может спасти государство и восстановить его мощь и славу. Но под маской напыщенной риторики скрывается недальновидный и самовлюбленный простак. Знающие его люди убеждены в его полной некомпетентности.;;;X
DPERSONALITY_STERN_IMPERIALIST;The Stern Imperialist is a staunch nationalist. He is neither charming nor an administrative genius. However he has one big asset, namely his fanatical determination to improve his nation's status. He will use any means to achieve that goal, be it political or military.;L’impйrialiste sйvиre est un ardent nationaliste. Il n’est ni charmant, ni un gйnie bureaucrate. Il possиde toutefois un atout prйcieux, а savoir sa dйtermination fanatique d’amйliorer le statut de son pays. Il utilisera tous les moyens possibles pour atteindre cet objectif, militaires comme politiques.;Quest'uomo и un fedele nazionalista. Non и nй affascinante nй dotato di genio amministrativo. Possiede tuttavia un grande punto di forza, cioи la fanatica determinazione di migliorare la posizione della propria nazione. Sfrutta perciт qualsiasi mezzo per conquistare obiettivi politici o militari.;El imperialista a ultranza es un nacionalista acйrrimo. No es carismбtico ni un genio de la administraciуn. No obstante, tiene un gran recurso: su determinaciуn fanбtica a mejorar el estatus de su naciуn. Usarб cualquier medio para conseguir esta meta, sea polнtico o militar.;Der Strikte Imperialist ist ein ьberzeugter Nationalist. Er ist weder charmant noch verfьgt er ьber Verwaltungsfдhigkeiten. Er hat jedoch eine groЯe Stдrke und das ist seine fanatische Entschlossenheit, den Status seiner Nation zu verbessern. Er wird jedes Mittel einsetzen um dieses Ziel zu erreichen.;Twardy imperialista jest zaїartym nacjonalist№. Nie jest ani czaruj№cy, ani nie posiada talentуw administracyjnych. Ma jednak jedn№ cenn№ cechк - fanatyczne oddanie narodowi. Wykorzysta wszelkie њrodki, aby poprawiж jego los.;;Непреклонный империалист исповедует националистические идеи. Его сила не в способности убеждать людей и не в административных качествах, а в фанатическом стремлении возвысить свою нацию среди других. Для этого он использует любые средства, политические либо военные.;;;X
DPERSONALITY_RUTHLESS_POWERMONGER;The Ruthless Powermonger treats his country and his people as personal possessions. He is completely unscrupulous and he will let nothing stand between him and his goals. Sometimes he can develop a streak of paranoia which will endanger friend and foe alike.;L’Assoiffй de pouvoir impitoyable traite son pays et son peuple comme des possessions personnelles. Dйnuй de scrupules, rien ne peut se mettre entre lui et ses objectifs. Il dйveloppe parfois une touche de paranoпa, capable de mettre en danger amis comme ennemis.;Quest'uomo tratta il suo paese e la sua gente come proprietа personali. И totalmente privo di scrupoli e non tollera impedimenti al raggiungimento dei suoi obiettivi. A volte puт sviluppare tratti paranoici che possono mettere in pericolo sia i nemici che gli amici.;El dйspota implacable trata a su paнs y su pueblo como si fueran de su propiedad personal. Carece completamente de escrъpulos y no dejarб que nada se interponga entre йl y sus metas. A veces puede darle un ramalazo de paranoia que pondrб en peligro a amigos y enemigos por igual.;Der Rьcksichtslose Kriegstreiber betrachtet das Land und seine Leute als persцnlichen Besitz. Er hat ьberhaupt keine Skrupel und wird nichts zwischen sich und die Erfьllung seiner Ziele kommen lassen. Manchmal wird er leicht paranoid, was sowohl seine Freunde als auch seine Feinde in Gefahr bringt.;Bezlitosny tyran uwaїa swуj kraj i jego mieszkaсcуw, za swoj№ wіasnoњж. Jest caіkowicie pozbawiony skrupuіуw i zniszczy wszystko i kaїdego, kto stanie mu na drodze. Czasem potrafi popaњж w paranojк, groџn№ i dla wrogуw, i dla przyjaciуі.;;Безжалостный властолюбец считает свою страну личным владением. Он совершенно неразборчив в средствах и никому не позволит стать на своем пути. Иногда у него развивается паранойя, равно опасная для его врагов и союзников.;;;X
DPERSONALITY_AUTOCRATIC_CHARMER;The Autocratic Charmer uses his charisma and ruthlessness to stay in power. He charms friend and foe alike and is an excellent negotiator. However, day-to-day governing is not his style and corruption flourishes under his rule.;Le charmeur autocratique se sert de son charisme et de sa nature impitoyable pour conserver le pouvoir. Il charme amis comme ennemis, et c’est un excellent nйgociateur. Pourtant, la gestion quotidienne du pays n’est pas son fort, et la corruption va bon train sous sa domination.;Quest'uomo sfrutta il proprio carisma e spietatezza per conservare il potere. Affascina non solo gli amici, ma anche i nemici ed и un eccellente negoziatore. La quotidiana gestione del governo non и perт il suo forte, favorirа perciт il dilagare della corruzione.;El autуcrata encantador usa su carisma y crueldad para mantenerse en el poder. Encanta por igual a amigos y enemigos y es un negociador excelente. Sin embargo, el gobierno diario de la naciуn no es lo suyo y la corrupciуn medra bajo su mandato.;Der Selbstherrliche Charmeur setzt seinen Charme und seine Rьcksichtslosigkeit ein um an der Macht zu bleiben. Er wickelt alle mit seinem Charme ein und eignet sich hervorragend fьr Verhandlungen. Das tдgliche Regierungsgeschдft ist jedoch nicht sein Ding und unter seiner Herrschaft wдchst die Korruption.;Czaruj№cy autokrata і№czy bezlitosne dziaіania i talent krasomуwczy. Pozwala mu to niezagroїenie trwaж przy wіadzy. Przyjaciуі i wrogуw czaruje rozmow№ i jest њwietnym negocjatorem. Jednak codzienne rz№dzenie nie naleїy do jego mocnych stron, co skutkuje szerz№c№ siк korupcj№.;;Обаятельный деспот прибегает к жестокости там, где не срабатывает харизма, но предпочитает очаровывать друзей и врагов. Он может достичь соглашения в любой ситуации, но рутинная ежедневная работа не для него. Коррупция при нем расцветает пышным цветом.;;;X
DPERSONALITY_RESIGNED_GENERALISSIMO;The Resigned Generalissimo came to power to save his country from the ruin of anarchy and popular sentiment. He is tired of political bickering and tries to run the country as he used to command his regiment. Still, he is a competent and decisive man.;Le gйnйralissime rйsignй a pris le pouvoir pour sauver son pays des mйfaits de l’anarchie et du sentiment populaire. Il est fatiguй des querelles politiques, et essaie de diriger le pays comme il commandait autrefois son rйgiment. Il n’en reste pas moins un homme compйtent et rйsolu.;Quest'uomo rassegnato и salito al potere per salvare la sua nazione dall’anarchia e dal sentimentalismo popolare. Stanco dei battibecchi politici, tenta di gestire il paese allo stesso modo con cui conduceva il suo reggimento. И tuttavia un uomo competente e risoluto.;El generalнsimo en excedencia se hizo con el poder para salvar a su paнs de la ruina de la anarquнa y el parecer popular. Estб cansado de las peleas polнticas e intenta llevar el paнs como si fuera el regimiento que tuvo al mando. Aun asн, es un hombre competente y resuelto.;Der Abgedankte Generalissimo kam an die Macht als er sein Land von der Anarchie und vцlkischer Gefьhlsduselei befreit hat. Er ist das politische Gezanke leid und regiert sein Land so, wie er sein Regiment regiert hat. Er ist jedoch ein kompetenter und entscheidungsfreudiger Mann.;Byіy generalissimus powrуciі do wіadzy, aby uratowaж swуj kraj przed anarchi№ i rozpadem. Jest zmкczony politycznymi gierkami i prуbuje rz№dziж tak, jak rz№dziі swoimi podwіadnymi w wojsku. Nie zmienia to faktu, їe jest zdecydowanym i kompetentnym przywуdc№.;;Генералиссимус в отставке вернулся в политику, чтобы спасти свою страну от анархии и народных волнений. Он не любит вести дискуссии и пытается управлять государством так же, как управлял дивизиями. Ему не откажешь в компетентности и решительности.;;;X
DPERSONALITY_BENEVOLENT_GENTLEMAN;The Benevolent Gentleman is charismatic and a master at winning elections. However, he lacks the character to be truly successful at the nation's helm. When things get rough, he merely smiles and waits out the winds of political opinion.;Le gentleman bienveillant est charismatique, et maоtre dans l’art de remporter les йlections. Il lui manque toutefois la force de caractиre nйcessaire pour кtre rйellement efficace aux postes de commande de son pays. Quand les choses vont mal, il se contente de sourire et d’attendre que tournent les vents de l’opinion politique.;Quest'uomo и carismatico ed esperto nel vincere le elezioni. Manca tuttavia della personalitа necessaria per avere un reale successo al timone del paese. Quando le cose si mettono male, sa solo sorridere e attendere con calma che la tempesta dell’opinione pubblica si calmi.;El caballero benevolente es carismбtico y un maestro en ganar elecciones. Sin embargo, carece del carбcter realmente necesario para llevar el timуn de la naciуn. Cuando las cosas se ponen feas, se limita a sonreнr y esperar a ver por dуnde sopla el viento de la opiniуn polнtica.;Der Gьtige Gentleman ist charismatisch und ein Meister im Gewinnen der Wahlen. Ihm fehlt jedoch der Charakter, um zum Wohle der Nation wirklich erfolgreich zu sein. Wenn die Dinge sich zuspitzen, dann lдchelt er nur und wartet ab, in welche Richtung er sein Fдhnchen hдngen wird.;Їyczliwy dїentelmen ma niesamowit№ charyzmк i jest mistrzem w wygrywaniu wyborуw. Do peіnego sukcesu brakuje mu jednak twardego charakteru. Kiedy stanie juї u steru paсstwa, potrafi siк tylko uњmiechaж i czekaж, dok№d poprowadzi go wiatr historii.;;Великодушный джентльмен обладает харизмой и умеет выигрывать выборы. Но он недостаточно тверд, чтобы стоять у руля государства, и в кризисных ситуациях занимает выжидательную позицию.;;;X
DPERSONALITY_WEARY_STIFF_NECK;The Weary Stiff-Neck is not the right man for this job. He tries to compensate for this with an aristocractic manner and stiff-necked acting. When it comes to politics he is weary and indecisive, always fearing that his lack of talent will show through his faзade.;L’impassible fatiguй est loin d’кtre idйal pour le poste qu’il occupe. Il essaie de compenser а cela en prenant une attitude aristocratique et rigide. En termes politiques, il est las et indйcis, craignant toujours que son manque de talent transparaisse sous son masque.;Quest'uomo non и adatto a questo tipo di lavoro. Tenta tuttavia di colmare questa lacuna con maniere aristocratiche e un atteggiamento cocciuto. Quando si tratta di politica, и svogliato e titubante, nel costante timore che dietro la facciata si intraveda la sua mancanza di capacitа.;El pisaverde cansino no es el hombre apropiado para este trabajo. Intenta compensarlo con sus modales aristocrбticos y su actuaciуn obstinada. Cuando llega la hora de la polнtica, se muestra hastiado e indeciso, temiendo siempre que su falta de talento le eche por tierra su fachada.;Der Mьde Aristokrat ist nicht der richtige Mann fьr diesen Job. Er bemьht sich darum, das mit seinem aristokratischen und ьberkandideltem Auftreten zu kompensieren. Wenn es um Politik geht ist er mьde und unentschieden und sorgt sich sehr darum, dass sein fehlendes Kцnnen bemerkt wird.;Niezdecydowany arystokrata nie jest wіaњciwym czіowiekiem na wіaњciwym miejscu. Ci№gle paraliїuje go strach, їe ludzie dostrzeg№, iї za mask№ sztywnego czіowieka z wyїszych sfer, kryje siк niezdecydowany przeciкtniak.;;Высокомерный зануда совершенно не умеет чем-либо управлять. За аристократическими манерами и высокомерием он пытается скрыть свою некомпетентность. В политике он проявляет нерешительность, опасаясь обнаружить свои слабости.;;;X
DPERSONALITY_INSIGNIFICANT_LAYMAN;The Insignificant Layman lacks any kind of ambition or political interest. The only reason people do not move against him is that he is fairly harmless and there is no better replacement.;L’amateur insignifiant est dйnuй de toute ambition ou intйrкt politique. La seule raison pour laquelle son peuple l’accepte est son innocuitй, et le fait qu’il n’existe personne de plus compйtent pour le remplacer.;Quest'uomo manca di qualsiasi ambizione o interesse politico. L’unica ragione per cui la gente non si ribella a lui и la sua sostanziale inoffensivitа e la mancanza di una valida alternativa.;El ciudadanito de a pie carece de cualquier ambiciуn o interйs polнtico. La ъnica razуn por la que el pueblo no se levanta contra йl es porque es bastante inofensivo y no hay un sustituto mejor.;Dem Unbedeutenden Laien fehlt jede Art von Ehrgeiz oder politisches Interesse. Die Menschen lehnen sich nur deshalb nicht gegen ihn auf, weil er vergleichsweise harmlos ist und es keine bessere Alternative gibt.;Mierny laik nie posiada jakichkolwiek talentуw, czy politycznego zmysіu. Jedynym powodem, dla ktуrego nie zostaі jeszcze usuniкty ze stanowiska, jest jego nieszkodliwoњж i brak zdecydowanie lepszego nastкpcy.;;Случайное лицо не имеет политических амбиций. Он остается на своем посту только до тех пор, пока ему не находится мало-мальски подходящая замена.;;;X
DPERSONALITY_DIE_HARD_REFORMER;The Die-Hard Reformer wants to promote his political values and preferred system of government to other countries. He is willing to intervene politically and military to achieve his goals.;Le rйformateur intransigeant entend promouvoir ses valeurs politiques et son systиme de gouvernement prйfйrй auprиs des autres pays. Il est prкt а intervenir, que ce soit militairement ou politiquement, pour atteindre ses objectifs.;Quest'uomo intende sostenere i suoi valori e idee sul sistema di governo anche negli altri paesi. Pur di raggiungere i suoi scopi, и disposto a intervenire a livello politico e militare.;El reformador acйrrimo quiere llevar a los demбs paнses sus valores polнticos y sistema de gobierno preferido. Estб deseoso de intervenir polнtica y militarmente para conseguir sus objetivos.;Der Knochenharte Reformer will seine politischen Werte und sein bevorzugtes Regierungssystem auf andere Lдnder ausweiten. Das wird er mit allen politischen und militдrischen Mitteln erreichen.;Nieugiкty reformator chce nieњж swoje wartoњci i jedyny sіuszny ustrуj wszystkim paсstwom wokуі. Jest zdecydowany dziaіaж zarуwno dyplomatycznie, jak i siіowo, aby osi№gn№ж swуj cel.;;Убежденный реформатор стремится навязать другим государствам свои политические ценности и представление о лучшей политической системе. Для достижения этих целей он не остановится перед политическим и военным вмешательством.;;;X
DPERSONALITY_PIG_HEADED_ISOLATIONIST;The Pig-Headed Isolationist is determined to keep his country out of war, and the mess of international politics. He might like or dislike international cooperation, but it is always national autonomy that is his goal.;L’isolationniste tкtu est dйterminй а ce que son pays reste hors de la guerre, et de la pagaille que reprйsente la politique internationale. Qu’il aime ou dйteste la coopйration internationale, son objectif reste l’autonomie nationale.;Quest'uomo и risoluto nel mantenere la propria nazione al di fuori della guerra e dal caos della politica internazionale. Che la cooperazione internazionale gli piaccia o meno, il suo obiettivo и sempre quello dell’autonomia nazionale.;El aislacionista empecinado estб decidido a mantener a su paнs fuera de la guerra y de los tejemanejes de la polнtica internacional. Puede gustarle o no la cooperaciуn internacional, pero la autonomнa nacional siempre serб su meta.;Der Schweinekцpfige Abschotter will sein Land aus dem Krieg und der internationalen Politbьhne raushalten. Unabhдngig davon, ob er internationale Zusammenarbeit annimmt oder ablehnt, seine nationale Autonomie hat immer Vorrang.;Uparty izolacjonista stawia sobie za cel utrzymanie swojego paсstwa z dala od wojny i baіaganu miкdzynarodowej polityki. Moїe lubiж miкdzynarodowe korporacje albo nie, jednak najwaїniejsza dla niego jest niezaleїnoњж wіasnego narodu.;;Тупой изоляционист хочет любой ценой удержать свою страну вне войны и международной политики. Иногда он признает необходимость международного сотрудничества в той степени, в какой оно не мешает этой изоляции.;;;X
DPERSONALITY_POPULAR_FIGUREHEAD;The Popular Figurehead has little power due to the system of government in his country. But due to his popularity, any firm statement of his will have to be taken into consideration by those who have power in the country.;Le systиme de gouvernement de son pays donne peu de pouvoir au chef de file populaire. Mais sa popularitй, et dans certains cas sa politique de non-intervention, font que quelles que soient ses dйclarations, elles doivent кtre prises en compte par ceux qui dйtiennent le pouvoir.;Quest'uomo dispone di poco potere a causa del sistema di governo della sua nazione. Ma, grazie alla sua popolaritа e, in alcuni casi, della politica di non coinvolgimento, qualsiasi sua dichiarazione fuori dalle righe riscuoterа sicuramente l’interesse di chi detiene il vero potere nel paese.;El adorno popular tiene poco poder debido al sistema de gobierno que hay en su paнs. Pero -debido a su popularidad y, a veces, lo poco que se mete en polнtica- los que llevan el poder en el paнs han de tener en cuenta cualquier declaraciуn que haga, por extraсa que sea.;Die Beliebte Gallionsfigur verfьgt ob des Regierungssystems in seinem Land nur ьber sehr wenig Macht. Aber wegen seiner Beliebtheit und dem Hang, sich nicht einzumischen sollten auch unbedeutende Kommentare von ihm mit einbezogen werden. ;Popularny figurant nie posiada prawdziwej wіadzy w paсstwie. Jednak dziкki popularnoњci w narodzie, kaїdy jego kaprys musi byж brany pod rozwagк przez ludzi posiadaj№cych prawdziw№ wіadzк.;;Любимца народа обычно не допускают к рычагам власти. Но его популярность и независимая позиция часто придают достаточный вес его экстравагантным высказываниям.;;;X
DPERSONALITY_SILENT_WORKHORSE;The Silent Workhorse compensates for his lack of charisma with hard work and competence. He rarely takes pride of place, instead letting the Head of State shine in the sun while he gets the job done.;La bкte de travail silencieuse compense son manque de charisme par ses compйtences et ses capacitйs extrкmes au travail. Il est rarement sous les projecteurs, prйfйrant laisser le chef de l'йtat avoir sa place au soleil, tandis qu’il abat du travail.;Quest'uomo compensa la mancanza di carisma con competenza e duro lavoro. Raramente si vanta della sua posizione, al contrario, lascia che il Capo di Stato attiri tutti i meriti su di sй mentre lui si fa carico degli oneri.;El mulo discreto compensa su falta de carisma con su gran capacidad de trabajo y competencia. Rara vez ocupa el lugar de honor y, en vez de ello, deja que sea el Jefe de Estado el que brille al sol mientras йl hace el trabajo.;Der Ruhige Ackergaul kompensiert sein fehlendes Charisma mit unglaublicher Arbeitskraft und Kompetenz. Er schert sich nicht um seine eigene Person und lдsst das Staatsoberhaupt die Lorbeeren einheimsen wдhrend er die Arbeit erledigt.;Nasza szkapa nadrabia brak charyzmy niesamowit№ pracowitoњci№ i kompetencj№. Pozostaje w cieniu, po prostu wykonuj№c swoj№ pracк, zostawiaj№c њwiatіa jupiterуw innym.;;Рабочей лошадке не хватает харизмы, но этот недостаток искупается поразительной работоспособностью и компетентностью. Он не стремится к первым ролям, позволяя другим набирать популярность за счет проделанной им работы. ;;;X
DPERSONALITY_NAIVE_OPTIMIST;The Naive Optimist is a competent administrator and politician. However, he often succumbs to  wishful thinking and fails to grasp the traps which have been laid for him.;L’optimiste naпf est un bureaucrate et un politicien compйtent. Il a malheureusement trop souvent tendance а prendre ses dйsirs pour des rйalitйs, et dйtecte trop tard les piиges dans lesquels il est tombй.;Quest'uomo и un politico e amministratore competente. Tuttavia, cade troppo spesso nella trappola delle illusioni, rendendosi conto troppo tardi dei tranelli che gli sono stati tesi.;El optimista ingenuo es un administrador y polнtico competente. Sin embargo, cae con frecuencia en la trampa de las ideas bienintencionadas y se da cuenta demasiado tarde de ello.;Der Naive Optimist ist ein kompetenter Verwalter und Politiker. Er begeht jedoch oft den Fehler, sich falsche Vorstellungen zu machen und erkennt erst spдt die fьr ihn ausgelegten Fallen.;Naiwny optymista to dobry urzкdnik i polityk. Czкsto wpada jednak w puіapkк zbyt optymistycznego myњlenia i nie zauwaїa kіуd, rzuconych przez jego przeciwnikуw.;;Простодушный оптимист может быть опытным администратором и политиком. Но он склонен принимать желаемое за действительное и часто попадает в расставленные другими ловушки и западни.;;;X
DPERSONALITY_FLAMBOYANT_TOUGH_GUY;The Flamboyant Tough Guy is a natural leader and a real fighter. He will try to avoid conflict but, if forced to, he will fight to the bitter end. His showmanship generates many creative ideas which he will defend with the stubbornness of a mule, whether they are good or bad.;Le gros dur extravagant est un leader naturel et un vrai combattant. Il s’efforce d’йviter systйmatiquement les conflits, mais s’il y est forcй, est prкt а se battre jusqu’а la mort. Malheureusement, sa crйativitй tend а lui donner des idйes exйcrables qu’il est capable de dйfendre avec l’entкtement d’une mule.;Per natura un leader e un combattente. Una volta entrato nel conflitto, si batte all’ultimo sangue. Il suo estro, tuttavia, fa sм che partorisca pessime idee che difenderа anche quando l'evidenza dei fatti gli darа torto.;El tipo duro extravagante es un lнder nato y un luchador de verdad. Intentarб evitar el conflicto, pero, si se ve obligado, lucharб hasta el final, por amargo que sea. Pese a ello, su creatividad puede hacer que tenga ideas realmente malas que, a veces, defenderб con la tozudez de una mula.;Der Schillernde Held ist ein geborener Fьhrer und ein echter Kдmpfer. Er wird versuchen, dem Konflikt aus dem Weg zu gehen, wenn es nicht anders geht kдmpft er jedoch bis zum bitteren Ende. Seine Kreativitдt sorgt jedoch dafьr, dass er manchmal auch schlechte Ideen hat, die er dann mit aller Macht verteidigt.;Twardziel to urodzony przywуdca i wojownik. Stara siк unikaж niepotrzebnych konfliktуw, jednak sprowokowany bкdzie walczyі aї do koсca. Z drugiej strony jego konsekwencja czкsto zmienia siк w upуr, gdy nie moїna mu wybiж z gіowy caіkiem chybionych pomysіуw.;;Гибкий профессионал обладает всеми качествами лидера и бойца. Он не стремится к конфликтам, но в случае необходимости готов сражаться до последнего. Он всегда переполнен идеями, которые защищает с ослиным упрямством, но эти идеи не всегда удачны.;;;X
DPERSONALITY_HAPPY_AMATEUR;The Happy Amateur got his position by pure chance and knows nothing of politics or government. However overwhelmed by the surprise of being in office, his ever-smiling face gives him an aura of confidence. Luckily for him, the people are unaware of his staggering incompetence.;L’amateur heureux a obtenu son poste par le plus grand des hasards et ne connaоt rien а la politique ou au gouvernement. En revanche, comblй par sa nomination surprise, il arbore en permanence un sourire qui inspire confiance. Heureusement pour lui, rares sont ceux qui rйalisent l’immensitй dйsespйrante de son incompйtence.;Quest'uomo и arrivato alla sua posizione per puro caso e non ha idea di cosa siano la politica o il governo. Per quanto sia sorpreso egli stesso dal fatto di essere in carica, il suo eterno sorriso gli conferisce un'aria di sicurezza. Per sua fortuna, la gente non и al corrente della sua totale incompetenza.;El aficionado feliz consiguiу su cargo de pura chamba y no sabe nada de polнtica o gobierno. Sin embargo, abrumado por la sorpresa de estar al cargo, su cara de eterna sonrisa le da un aura de confianza. Por suerte para йl, la gente desconoce la asombrosa inmensidad de su incompetencia.;Der Glьckliche Amateur ist durch reines Glьck an die Macht gekommen und hat keine Ahnung von Politik und Regierungsgeschдften. Er ist jedoch so ьberrascht ьber seine Ernennung, dass sein ewiges Grinsen ihm eine gewisse Vertrauenswьrdigkeit verleiht. Seine Leute sind sich zum Glьck seiner einschneidenden Inkompetenz nicht bewusst.;Szczкњciarz ignorant osi№gn№і sukces dziкki szczкњliwemu zbiegowi okolicznoњci. Mimo, їe boi siк odpowiedzialnoњci, jego zawsze uњmiechniкta twarz dodaje mu sporo pewnoњci siebie. Na jego szczкњcie ludzie dookoіa nie zdaj№ sobie sprawy z  ukrytych w nim, niezmierzonych pokіadуw niekompetencji.;;Беззаботный дилетант случайно оказался на высоком посту и совершенно не разбирается в политике и управлении. Однако веселое настроение и добродушие, вызванное ощущением собственной значимости, придает ему уверенный вид. К счастью для него, окружающие редко замечают вопиющие провалы в его эрудиции и компетентности.;;;X
