#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X
EVT_292007_ACTIONC;Conservatives Win.;Conservatives Win.;Conservatives Win.;Conservatives Win.;Conservatives Win.;Conservatives Win.;Conservatives Win.;Conservatives Win.;Conservatives Win.;Conservatives Win.;Conservatives Win.x
EVT_292008_NAME;The 1960 Presidential Elections;The 1960 Presidential Elections;The 1960 Presidential Elections;The 1960 Presidential Elections;The 1960 Presidential Elections;The 1960 Presidential Elections;The 1960 Presidential Elections;The 1960 Presidential Elections;The 1960 Presidential Elections;The 1960 Presidential Elections;The 1960 Presidential Electionsx
EVT_292008_DESC;It's April 20th, election day. Shops, schools, and businesses are closed as the whole populace waits for the election results. It is a particularly contested election this year, and could go any way.;It's April 20th, election day. Shops, schools, and businesses are closed as the whole populace waits for the election results. It is a particularly contested election this year, and could go any way.;It's April 20th, election day. Shops, schools, and businesses are closed as the whole populace waits for the election results. It is a particularly contested election this year, and could go any way.;It's April 20th, election day. Shops, schools, and businesses are closed as the whole populace waits for the election results. It is a particularly contested election this year, and could go any way.;It's April 20th, election day. Shops, schools, and businesses are closed as the whole populace waits for the election results. It is a particularly contested election this year, and could go any way.;It's April 20th, election day. Shops, schools, and businesses are closed as the whole populace waits for the election results. It is a particularly contested election this year, and could go any way.;It's April 20th, election day. Shops, schools, and businesses are closed as the whole populace waits for the election results. It is a particularly contested election this year, and could go any way.;It's April 20th, election day. Shops, schools, and businesses are closed as the whole populace waits for the election results. It is a particularly contested election this year, and could go any way.;It's April 20th, election day. Shops, schools, and businesses are closed as the whole populace waits for the election results. It is a particularly contested election this year, and could go any way.;It's April 20th, election day. Shops, schools, and businesses are closed as the whole populace waits for the election results. It is a particularly contested election this year, and could go any way.;It's April 20th, election day. Shops, schools, and businesses are closed as the whole populace waits for the election results. It is a particularly contested election this year, and could go any way.x
EVT_292008_ACTIONA;National Revolutionary Party Wins.;National Revolutionary Party Wins.;National Revolutionary Party Wins.;National Revolutionary Party Wins.;National Revolutionary Party Wins.;National Revolutionary Party Wins.;National Revolutionary Party Wins.;National Revolutionary Party Wins.;National Revolutionary Party Wins.;National Revolutionary Party Wins.;National Revolutionary Party Wins.x
EVT_292008_ACTIONB;National Liberal Party Wins.;National Liberal Party Wins.;National Liberal Party Wins.;National Liberal Party Wins.;National Liberal Party Wins.;National Liberal Party Wins.;National Liberal Party Wins.;National Liberal Party Wins.;National Liberal Party Wins.;National Liberal Party Wins.;National Liberal Party Wins.x
EVT_292008_ACTIONC;Conservatives Win.;Conservatives Win.;Conservatives Win.;Conservatives Win.;Conservatives Win.;Conservatives Win.;Conservatives Win.;Conservatives Win.;Conservatives Win.;Conservatives Win.;Conservatives Win.x
EVT_292009_NAME;Defending our Homeland;Defending our Homeland;Defending our Homeland;Defending our Homeland;Defending our Homeland;Defending our Homeland;Defending our Homeland;Defending our Homeland;Defending our Homeland;Defending our Homeland;Defending our Homelandx
EVT_292009_DESC;We have threats on all sides, therefore we must prepare to defend our homeland to the last man. However our military disagrees on how to do this. Some believe that we should prepare for some parts of the country to fall, and use the natural terrain in an elastic defense. Others however believe we must plan to hold every inch of Panama soil.;We have threats on all sides, therefore we must prepare to defend our homeland to the last man. However our military disagrees on how to do this. Some believe that we should prepare for some parts of the country to fall, and use the natural terrain in an elastic defense. Others however believe we must plan to hold every inch of Panama soil.;We have threats on all sides, therefore we must prepare to defend our homeland to the last man. However our military disagrees on how to do this. Some believe that we should prepare for some parts of the country to fall, and use the natural terrain in an elastic defense. Others however believe we must plan to hold every inch of Panama soil.;We have threats on all sides, therefore we must prepare to defend our homeland to the last man. However our military disagrees on how to do this. Some believe that we should prepare for some parts of the country to fall, and use the natural terrain in an elastic defense. Others however believe we must plan to hold every inch of Panama soil.;We have threats on all sides, therefore we must prepare to defend our homeland to the last man. However our military disagrees on how to do this. Some believe that we should prepare for some parts of the country to fall, and use the natural terrain in an elastic defense. Others however believe we must plan to hold every inch of Panama soil.;We have threats on all sides, therefore we must prepare to defend our homeland to the last man. However our military disagrees on how to do this. Some believe that we should prepare for some parts of the country to fall, and use the natural terrain in an elastic defense. Others however believe we must plan to hold every inch of Panama soil.;We have threats on all sides, therefore we must prepare to defend our homeland to the last man. However our military disagrees on how to do this. Some believe that we should prepare for some parts of the country to fall, and use the natural terrain in an elastic defense. Others however believe we must plan to hold every inch of Panama soil.;We have threats on all sides, therefore we must prepare to defend our homeland to the last man. However our military disagrees on how to do this. Some believe that we should prepare for some parts of the country to fall, and use the natural terrain in an elastic defense. Others however believe we must plan to hold every inch of Panama soil.;We have threats on all sides, therefore we must prepare to defend our homeland to the last man. However our military disagrees on how to do this. Some believe that we should prepare for some parts of the country to fall, and use the natural terrain in an elastic defense. Others however believe we must plan to hold every inch of Panama soil.;We have threats on all sides, therefore we must prepare to defend our homeland to the last man. However our military disagrees on how to do this. Some believe that we should prepare for some parts of the country to fall, and use the natural terrain in an elastic defense. Others however believe we must plan to hold every inch of Panama soil.;We have threats on all sides, therefore we must prepare to defend our homeland to the last man. However our military disagrees on how to do this. Some believe that we should prepare for some parts of the country to fall, and use the natural terrain in an elastic defense. Others however believe we must plan to hold every inch of Panama soil.x
EVT_292009_ACTIONA;Elastic Defence;Elastic Defence;Elastic Defence;Elastic Defence;Elastic Defence;Elastic Defence;Elastic Defence;Elastic Defence;Elastic Defence;Elastic Defence;Elastic Defencex
EVT_292009_ACTIONB;Static Defence;Static Defence;Static Defence;Static Defence;Static Defence;Static Defence;Static Defence;Static Defence;Static Defence;Static Defence;Static Defencex
EVT_292010_NAME;Increasing Recruitment;Increasing Recruitment;Increasing Recruitment;Increasing Recruitment;Increasing Recruitment;Increasing Recruitment;Increasing Recruitment;Increasing Recruitment;Increasing Recruitment;Increasing Recruitment;Increasing Recruitmentx
EVT_292010_DESC;We should strengthen our recruitment campaigns and encourage more people to join the defence of our great nation. It will be expensive but we need every man on the line.;We should strengthen our recruitment campaigns and encourage more people to join the defence of our great nation. It will be expensive but we need every man on the line.;We should strengthen our recruitment campaigns and encourage more people to join the defence of our great nation. It will be expensive but we need every man on the line.;We should strengthen our recruitment campaigns and encourage more people to join the defence of our great nation. It will be expensive but we need every man on the line.;We should strengthen our recruitment campaigns and encourage more people to join the defence of our great nation. It will be expensive but we need every man on the line.;We should strengthen our recruitment campaigns and encourage more people to join the defence of our great nation. It will be expensive but we need every man on the line.;We should strengthen our recruitment campaigns and encourage more people to join the defence of our great nation. It will be expensive but we need every man on the line.;We should strengthen our recruitment campaigns and encourage more people to join the defence of our great nation. It will be expensive but we need every man on the line.;We should strengthen our recruitment campaigns and encourage more people to join the defence of our great nation. It will be expensive but we need every man on the line.;We should strengthen our recruitment campaigns and encourage more people to join the defence of our great nation. It will be expensive but we need every man on the line.;We should strengthen our recruitment campaigns and encourage more people to join the defence of our great nation. It will be expensive but we need every man on the line.x
EVT_292010_ACTIONA;Let us invest in the recruitment campaign!;Let us invest in the recruitment campaign!;Let us invest in the recruitment campaign!;Let us invest in the recruitment campaign!;Let us invest in the recruitment campaign!;Let us invest in the recruitment campaign!;Let us invest in the recruitment campaign!;Let us invest in the recruitment campaign!;Let us invest in the recruitment campaign!;Let us invest in the recruitment campaign!;Let us invest in the recruitment campaign!x
EVT_292010_ACTIONB;This is too expensive;This is too expensive;This is too expensive;This is too expensive;This is too expensive;This is too expensive;This is too expensive;This is too expensive;This is too expensive;This is too expensive;This is too expensivex
EVT_292011_NAME;New Weapon Development;New Weapon Development;New Weapon Development;New Weapon Development;New Weapon Development;New Weapon Development;New Weapon Development;New Weapon Development;New Weapon Development;New Weapon Development;New Weapon Developmentx
EVT_292011_DESC;We should invest heavily in the weapons industry so we can improve the equipment of our troops. The choice comes down to improving our infantry or our artillery...;We should invest heavily in the weapons industry so we can improve the equipment of our troops. The choice comes down to improving our infantry or our artillery...;We should invest heavily in the weapons industry so we can improve the equipment of our troops. The choice comes down to improving our infantry or our artillery...;We should invest heavily in the weapons industry so we can improve the equipment of our troops. The choice comes down to improving our infantry or our artillery...;We should invest heavily in the weapons industry so we can improve the equipment of our troops. The choice comes down to improving our infantry or our artillery...;We should invest heavily in the weapons industry so we can improve the equipment of our troops. The choice comes down to improving our infantry or our artillery...;We should invest heavily in the weapons industry so we can improve the equipment of our troops. The choice comes down to improving our infantry or our artillery...;We should invest heavily in the weapons industry so we can improve the equipment of our troops. The choice comes down to improving our infantry or our artillery...;We should invest heavily in the weapons industry so we can improve the equipment of our troops. The choice comes down to improving our infantry or our artillery...;We should invest heavily in the weapons industry so we can improve the equipment of our troops. The choice comes down to improving our infantry or our artillery...;We should invest heavily in the weapons industry so we can improve the equipment of our troops. The choice comes down to improving our infantry or our artillery...x
EVT_292011_ACTIONA;We should focus on infantry;We should focus on infantry;We should focus on infantry;We should focus on infantry;We should focus on infantry;We should focus on infantry;We should focus on infantry;We should focus on infantry;We should focus on infantry;We should focus on infantry;We should focus on infantryx
EVT_292011_ACTIONB;We should invest in artillery development;We should invest in artillery development;We should invest in artillery development;We should invest in artillery development;We should invest in artillery development;We should invest in artillery development;We should invest in artillery development;We should invest in artillery development;We should invest in artillery development;We should invest in artillery development;We should invest in artillery developmentx
EVT_292012_NAME;Training the Masses;Training the Masses;Training the Masses;Training the Masses;Training the Masses;Training the Masses;Training the Masses;Training the Masses;Training the Masses;Training the Masses;Training the Massesx
EVT_292012_DESC;We should instruct each and every civilian in the use of our weapons and use them as an emergency reserve to call from at any time. Militia's lack discipline but we need every soldier we can get;We should instruct each and every civilian in the use of our weapons and use them as an emergency reserve to call from at any time. Militia's lack discipline but we need every soldier we can get;We should instruct each and every civilian in the use of our weapons and use them as an emergency reserve to call from at any time. Militia's lack discipline but we need every soldier we can get;We should instruct each and every civilian in the use of our weapons and use them as an emergency reserve to call from at any time. Militia's lack discipline but we need every soldier we can get;We should instruct each and every civilian in the use of our weapons and use them as an emergency reserve to call from at any time. Militia's lack discipline but we need every soldier we can get;We should instruct each and every civilian in the use of our weapons and use them as an emergency reserve to call from at any time. Militia's lack discipline but we need every soldier we can get;We should instruct each and every civilian in the use of our weapons and use them as an emergency reserve to call from at any time. Militia's lack discipline but we need every soldier we can get;We should instruct each and every civilian in the use of our weapons and use them as an emergency reserve to call from at any time. Militia's lack discipline but we need every soldier we can get;We should instruct each and every civilian in the use of our weapons and use them as an emergency reserve to call from at any time. Militia's lack discipline but we need every soldier we can get;We should instruct each and every civilian in the use of our weapons and use them as an emergency reserve to call from at any time. Militia's lack discipline but we need every soldier we can get;We should instruct each and every civilian in the use of our weapons and use them as an emergency reserve to call from at any time. Militia's lack discipline but we need every soldier we can getx
EVT_292012_ACTIONA;The people will guard their land!;The people will guard their land!;The people will guard their land!;The people will guard their land!;The people will guard their land!;The people will guard their land!;The people will guard their land!;The people will guard their land!;The people will guard their land!;The people will guard their land!;The people will guard their land!x
EVT_292013_NAME;Every Man a Rifle;Every Man a Rifle;Every Man a Rifle;Every Man a Rifle;Every Man a Rifle;Every Man a Rifle;Every Man a Rifle;Every Man a Rifle;Every Man a Rifle;Every Man a Rifle;Every Man a Riflex
EVT_292013_DESC;We should equip all of our civilians with older rifles, so that way if we call upon them they are prepared to do their duty to protect Panama. Potentially expensive, but it would be worth it;;;;;;;;;;x
EVT_292013_ACTIONA;M1 Garands for everyone!;M1 Garands for everyone!;M1 Garands for everyone!;M1 Garands for everyone!;M1 Garands for everyone!;M1 Garands for everyone!;M1 Garands for everyone!;M1 Garands for everyone!;M1 Garands for everyone!;M1 Garands for everyone!;M1 Garands for everyone!x
EVT_292013_ACTIONB;No, this isn't worth it;No, this isn't worth it;No, this isn't worth it;No, this isn't worth it;No, this isn't worth it;No, this isn't worth it;No, this isn't worth it;No, this isn't worth it;No, this isn't worth it;No, this isn't worth it;No, this isn't worth itx
EVT_292014_NAME;Purchase Foreign Guns;Purchase Foreign Guns;Purchase Foreign Guns;Purchase Foreign Guns;Purchase Foreign Guns;Purchase Foreign Guns;Purchase Foreign Guns;Purchase Foreign Guns;Purchase Foreign Guns;Purchase Foreign Guns;Purchase Foreign Gunsx
EVT_292014_DESC;Our domestic arms industry is weak at the moment. We should purchase foreign guns and use them to equip our forces. Though the more popular decision would be to use the money to care for our people. What shall we do?;Our domestic arms industry is weak at the moment. We should purchase foreign guns and use them to equip our forces. Though the more popular decision would be to use the money to care for our people. What shall we do?;Our domestic arms industry is weak at the moment. We should purchase foreign guns and use them to equip our forces. Though the more popular decision would be to use the money to care for our people. What shall we do?;Our domestic arms industry is weak at the moment. We should purchase foreign guns and use them to equip our forces. Though the more popular decision would be to use the money to care for our people. What shall we do?;Our domestic arms industry is weak at the moment. We should purchase foreign guns and use them to equip our forces. Though the more popular decision would be to use the money to care for our people. What shall we do?;Our domestic arms industry is weak at the moment. We should purchase foreign guns and use them to equip our forces. Though the more popular decision would be to use the money to care for our people. What shall we do?;Our domestic arms industry is weak at the moment. We should purchase foreign guns and use them to equip our forces. Though the more popular decision would be to use the money to care for our people. What shall we do?;Our domestic arms industry is weak at the moment. We should purchase foreign guns and use them to equip our forces. Though the more popular decision would be to use the money to care for our people. What shall we do?;Our domestic arms industry is weak at the moment. We should purchase foreign guns and use them to equip our forces. Though the more popular decision would be to use the money to care for our people. What shall we do?;Our domestic arms industry is weak at the moment. We should purchase foreign guns and use them to equip our forces. Though the more popular decision would be to use the money to care for our people. What shall we do?;Our domestic arms industry is weak at the moment. We should purchase foreign guns and use them to equip our forces. Though the more popular decision would be to use the money to care for our people. What shall we do?x
EVT_292014_ACTIONA;Supplies! Get your supplies here!;Supplies! Get your supplies here!;Supplies! Get your supplies here!;Supplies! Get your supplies here!;Supplies! Get your supplies here!;Supplies! Get your supplies here!;Supplies! Get your supplies here!;Supplies! Get your supplies here!;Supplies! Get your supplies here!;Supplies! Get your supplies here!;Supplies! Get your supplies here!x
EVT_292014_ACTIONB;We should save the money for projects that help the people instead.;We should save the money for projects that help the people instead.;We should save the money for projects that help the people instead.;We should save the money for projects that help the people instead.;We should save the money for projects that help the people instead.;We should save the money for projects that help the people instead.;We should save the money for projects that help the people instead.;We should save the money for projects that help the people instead.;We should save the money for projects that help the people instead.;We should save the money for projects that help the people instead.;We should save the money for projects that help the people instead.x
EVT_292015_NAME;Invest in Support Artillery;Invest in Support Artillery;Invest in Support Artillery;Invest in Support Artillery;Invest in Support Artillery;Invest in Support Artillery;Invest in Support Artillery;Invest in Support Artillery;Invest in Support Artillery;Invest in Support Artillery;Invest in Support Artilleryx
EVT_292015_DESC;We should invest in acquiring the infrastructure to produce artillery pieces to support our armies. We can achieve greater results with fewer soldiers.;We should invest in acquiring the infrastructure to produce artillery pieces to support our armies. We can achieve greater results with fewer soldiers.;We should invest in acquiring the infrastructure to produce artillery pieces to support our armies. We can achieve greater results with fewer soldiers.;We should invest in acquiring the infrastructure to produce artillery pieces to support our armies. We can achieve greater results with fewer soldiers.;We should invest in acquiring the infrastructure to produce artillery pieces to support our armies. We can achieve greater results with fewer soldiers.;We should invest in acquiring the infrastructure to produce artillery pieces to support our armies. We can achieve greater results with fewer soldiers.;We should invest in acquiring the infrastructure to produce artillery pieces to support our armies. We can achieve greater results with fewer soldiers.;We should invest in acquiring the infrastructure to produce artillery pieces to support our armies. We can achieve greater results with fewer soldiers.;We should invest in acquiring the infrastructure to produce artillery pieces to support our armies. We can achieve greater results with fewer soldiers.;We should invest in acquiring the infrastructure to produce artillery pieces to support our armies. We can achieve greater results with fewer soldiers.;We should invest in acquiring the infrastructure to produce artillery pieces to support our armies. We can achieve greater results with fewer soldiers.x
EVT_292015_ACTIONA;This investment will be worth it;This investment will be worth it;This investment will be worth it;This investment will be worth it;This investment will be worth it;This investment will be worth it;This investment will be worth it;This investment will be worth it;This investment will be worth it;This investment will be worth it;This investment will be worth itx
EVT_292016_NAME;Mobilize The Economy;Mobilize The Economy;Mobilize The Economy;Mobilize The Economy;Mobilize The Economy;Mobilize The Economy;Mobilize The Economy;Mobilize The Economy;Mobilize The Economy;Mobilize The Economy;Mobilize The Economyx
EVT_292016_DESC;We must ensure that the civilian economy stands beside us when we go to war. It won't be popular but certain indutries need to be under government control so we can defend the country;We must ensure that the civilian economy stands beside us when we go to war. It won't be popular but certain indutries need to be under government control so we can defend the country;We must ensure that the civilian economy stands beside us when we go to war. It won't be popular but certain indutries need to be under government control so we can defend the country;We must ensure that the civilian economy stands beside us when we go to war. It won't be popular but certain indutries need to be under government control so we can defend the country;We must ensure that the civilian economy stands beside us when we go to war. It won't be popular but certain indutries need to be under government control so we can defend the country;We must ensure that the civilian economy stands beside us when we go to war. It won't be popular but certain indutries need to be under government control so we can defend the country;We must ensure that the civilian economy stands beside us when we go to war. It won't be popular but certain indutries need to be under government control so we can defend the country;We must ensure that the civilian economy stands beside us when we go to war. It won't be popular but certain indutries need to be under government control so we can defend the country;We must ensure that the civilian economy stands beside us when we go to war. It won't be popular but certain indutries need to be under government control so we can defend the country;We must ensure that the civilian economy stands beside us when we go to war. It won't be popular but certain indutries need to be under government control so we can defend the country;We must ensure that the civilian economy stands beside us when we go to war. It won't be popular but certain indutries need to be under government control so we can defend the countryx
EVT_292016_ACTIONA;This is needed;This is needed;This is needed;This is needed;This is needed;This is needed;This is needed;This is needed;This is needed;This is needed;This is neededx
EVT_292016_ACTIONB;The people will never support this;The people will never support this;The people will never support this;The people will never support this;The people will never support this;The people will never support this;The people will never support this;The people will never support this;The people will never support this;The people will never support this;The people will never support thisx
EVT_292017_NAME;Propaganda Campaign;Propaganda Campaign;Propaganda Campaign;Propaganda Campaign;Propaganda Campaign;Propaganda Campaign;Propaganda Campaign;Propaganda Campaign;Propaganda Campaign;Propaganda Campaign;Propaganda Campaignx
EVT_292017_DESC;We should begin distributing posters to cities highlighting reasons to join the armed forces and defend the country. If we all march together we will triumph!;We should begin distributing posters to cities highlighting reasons to join the armed forces and defend the country. If we all march together we will triumph!;We should begin distributing posters to cities highlighting reasons to join the armed forces and defend the country. If we all march together we will triumph!;We should begin distributing posters to cities highlighting reasons to join the armed forces and defend the country. If we all march together we will triumph!;We should begin distributing posters to cities highlighting reasons to join the armed forces and defend the country. If we all march together we will triumph!;We should begin distributing posters to cities highlighting reasons to join the armed forces and defend the country. If we all march together we will triumph!;We should begin distributing posters to cities highlighting reasons to join the armed forces and defend the country. If we all march together we will triumph!;We should begin distributing posters to cities highlighting reasons to join the armed forces and defend the country. If we all march together we will triumph!;We should begin distributing posters to cities highlighting reasons to join the armed forces and defend the country. If we all march together we will triumph!;We should begin distributing posters to cities highlighting reasons to join the armed forces and defend the country. If we all march together we will triumph!;We should begin distributing posters to cities highlighting reasons to join the armed forces and defend the country. If we all march together we will triumph!x
EVT_292017_ACTIONA;Stand by your country!;Stand by your country!;Stand by your country!;Stand by your country!;Stand by your country!;Stand by your country!;Stand by your country!;Stand by your country!;Stand by your country!;Stand by your country!;Stand by your country!x
EVT_292018_NAME;Protecting Our Interests;Protecting Our Interests;Protecting Our Interests;Protecting Our Interests;Protecting Our Interests;Protecting Our Interests;Protecting Our Interests;Protecting Our Interests;Protecting Our Interests;;x
EVT_292018_DESC;The world is at war, and Panama must now make an even greater effort to defend it's interests. We have made very good ground preparations in the last few years, but now we must choose between improving our navy or our airforce to protect our interests...;The world is at war, and Panama must now make an even greater effort to defend it's interests. We have made very good ground preparations in the last few years, but now we must choose between improving our navy or our airforce to protect our interests...;The world is at war, and Panama must now make an even greater effort to defend it's interests. We have made very good ground preparations in the last few years, but now we must choose between improving our navy or our airforce to protect our interests...;The world is at war, and Panama must now make an even greater effort to defend it's interests. We have made very good ground preparations in the last few years, but now we must choose between improving our navy or our airforce to protect our interests...;The world is at war, and Panama must now make an even greater effort to defend it's interests. We have made very good ground preparations in the last few years, but now we must choose between improving our navy or our airforce to protect our interests...;The world is at war, and Panama must now make an even greater effort to defend it's interests. We have made very good ground preparations in the last few years, but now we must choose between improving our navy or our airforce to protect our interests...;The world is at war, and Panama must now make an even greater effort to defend it's interests. We have made very good ground preparations in the last few years, but now we must choose between improving our navy or our airforce to protect our interests...;The world is at war, and Panama must now make an even greater effort to defend it's interests. We have made very good ground preparations in the last few years, but now we must choose between improving our navy or our airforce to protect our interests...;The world is at war, and Panama must now make an even greater effort to defend it's interests. We have made very good ground preparations in the last few years, but now we must choose between improving our navy or our airforce to protect our interests...;;x
EVT_292018_ACTIONA;We shall protect ourselves by sea;We shall protect ourselves by sea;We shall protect ourselves by sea;We shall protect ourselves by sea;We shall protect ourselves by sea;We shall protect ourselves by sea;We shall protect ourselves by sea;We shall protect ourselves by sea;We shall protect ourselves by sea;We shall protect ourselves by sea;x
EVT_292018_ACTIONB;We shall protect ourselves by air;We shall protect ourselves by air;We shall protect ourselves by air;We shall protect ourselves by air;We shall protect ourselves by air;We shall protect ourselves by air;We shall protect ourselves by air;We shall protect ourselves by air;We shall protect ourselves by air;We shall protect ourselves by air;x
EVT_292019_NAME;The issue of trade;The issue of trade;The issue of trade;The issue of trade;The issue of trade;The issue of trade;The issue of trade;The issue of trade;The issue of trade;;x
EVT_292019_DESC;We do not have the capacity to field a large and varied navy, so we must make two important choices as to our doctrine and ship types. We are one of the major trade arteries of the world, and trade fuels our economy. We must decide on an offensive or defensive focus for protecting our trade.;e do not have the capacity to field a large and varied navy, so we must make two important choices as to our doctrine and ship types. We are one of the major trade arteries of the world, and trade fuels our economy. We must decide on an offensive or defensive focus for protecting our trade.;e do not have the capacity to field a large and varied navy, so we must make two important choices as to our doctrine and ship types. We are one of the major trade arteries of the world, and trade fuels our economy. We must decide on an offensive or defensive focus for protecting our trade.;e do not have the capacity to field a large and varied navy, so we must make two important choices as to our doctrine and ship types. We are one of the major trade arteries of the world, and trade fuels our economy. We must decide on an offensive or defensive focus for protecting our trade.;e do not have the capacity to field a large and varied navy, so we must make two important choices as to our doctrine and ship types. We are one of the major trade arteries of the world, and trade fuels our economy. We must decide on an offensive or defensive focus for protecting our trade.;e do not have the capacity to field a large and varied navy, so we must make two important choices as to our doctrine and ship types. We are one of the major trade arteries of the world, and trade fuels our economy. We must decide on an offensive or defensive focus for protecting our trade.;e do not have the capacity to field a large and varied navy, so we must make two important choices as to our doctrine and ship types. We are one of the major trade arteries of the world, and trade fuels our economy. We must decide on an offensive or defensive focus for protecting our trade.;e do not have the capacity to field a large and varied navy, so we must make two important choices as to our doctrine and ship types. We are one of the major trade arteries of the world, and trade fuels our economy. We must decide on an offensive or defensive focus for protecting our trade.;e do not have the capacity to field a large and varied navy, so we must make two important choices as to our doctrine and ship types. We are one of the major trade arteries of the world, and trade fuels our economy. We must decide on an offensive or defensive focus for protecting our trade.;;x
EVT_292019_ACTIONA;Offensive focus;Offensive focus;Offensive focus;Offensive focus;Offensive focus;Offensive focus;Offensive focus;Offensive focus;Offensive focus;;x
EVT_292019_ACTIONB;Defensive Focus;Defensive Focus;Defensive Focus;Defensive Focus;Defensive Focus;Defensive Focus;Defensive Focus;Defensive Focus;Defensive Focus;;x
EVT_292020_NAME;Our choice of ships;Our choice of ships;Our choice of ships;Our choice of ships;Our choice of ships;Our choice of ships;Our choice of ships;Our choice of ships;Our choice of ships;;x
EVT_292020_DESC;Our Navy must be built up, but we cannot afford a large navy. A number of proposals have been brought up and rejected since we decided our methods and now two remain. We could create a submarine fleet in the vein of the German U-Boats, or we could focus on a small surface fleet of destroyers and light cruisers...;Our Navy must be built up, but we cannot afford a large navy. A number of proposals have been brought up and rejected since we decided our methods and now two remain. We could create a submarine fleet in the vein of the German U-Boats, or we could focus on a small surface fleet of destroyers and light cruisers...;Our Navy must be built up, but we cannot afford a large navy. A number of proposals have been brought up and rejected since we decided our methods and now two remain. We could create a submarine fleet in the vein of the German U-Boats, or we could focus on a small surface fleet of destroyers and light cruisers...;Our Navy must be built up, but we cannot afford a large navy. A number of proposals have been brought up and rejected since we decided our methods and now two remain. We could create a submarine fleet in the vein of the German U-Boats, or we could focus on a small surface fleet of destroyers and light cruisers...;Our Navy must be built up, but we cannot afford a large navy. A number of proposals have been brought up and rejected since we decided our methods and now two remain. We could create a submarine fleet in the vein of the German U-Boats, or we could focus on a small surface fleet of destroyers and light cruisers...;Our Navy must be built up, but we cannot afford a large navy. A number of proposals have been brought up and rejected since we decided our methods and now two remain. We could create a submarine fleet in the vein of the German U-Boats, or we could focus on a small surface fleet of destroyers and light cruisers...;Our Navy must be built up, but we cannot afford a large navy. A number of proposals have been brought up and rejected since we decided our methods and now two remain. We could create a submarine fleet in the vein of the German U-Boats, or we could focus on a small surface fleet of destroyers and light cruisers...;Our Navy must be built up, but we cannot afford a large navy. A number of proposals have been brought up and rejected since we decided our methods and now two remain. We could create a submarine fleet in the vein of the German U-Boats, or we could focus on a small surface fleet of destroyers and light cruisers...;Our Navy must be built up, but we cannot afford a large navy. A number of proposals have been brought up and rejected since we decided our methods and now two remain. We could create a submarine fleet in the vein of the German U-Boats, or we could focus on a small surface fleet of destroyers and light cruisers...;;x
EVT_292020_ACTIONA;Create a Submarine Fleet;Create a Submarine Fleet;Create a Submarine Fleet;Create a Submarine Fleet;Create a Submarine Fleet;Create a Submarine Fleet;Create a Submarine Fleet;Create a Submarine Fleet;Create a Submarine Fleet;;x
EVT_292020_ACTIONB;Create a proper escort fleet of destroyers and crusiers;Create a proper escort fleet of destroyers and crusiers;Create a proper escort fleet of destroyers and crusiers;Create a proper escort fleet of destroyers and crusiers;Create a proper escort fleet of destroyers and crusiers;Create a proper escort fleet of destroyers and crusiers;Create a proper escort fleet of destroyers and crusiers;Create a proper escort fleet of destroyers and crusiers;Create a proper escort fleet of destroyers and crusiers;;x
EVT_292021_NAME;Convoy Raiding Tactics;Convoy Raiding Tactics;Convoy Raiding Tactics;Convoy Raiding Tactics;Convoy Raiding Tactics;Convoy Raiding Tactics;Convoy Raiding Tactics;Convoy Raiding Tactics;Convoy Raiding Tactics;;x
EVT_292021_DESC;We should plan tactics for raiding enemy convoys while minimizing our own losses. We do not have much experience with the use of submarines so we must learn all that we can.;We should plan tactics for raiding enemy convoys while minimizing our own losses. We do not have much experience with the use of submarines so we must learn all that we can.;We should plan tactics for raiding enemy convoys while minimizing our own losses. We do not have much experience with the use of submarines so we must learn all that we can.;We should plan tactics for raiding enemy convoys while minimizing our own losses. We do not have much experience with the use of submarines so we must learn all that we can.;We should plan tactics for raiding enemy convoys while minimizing our own losses. We do not have much experience with the use of submarines so we must learn all that we can.;We should plan tactics for raiding enemy convoys while minimizing our own losses. We do not have much experience with the use of submarines so we must learn all that we can.;We should plan tactics for raiding enemy convoys while minimizing our own losses. We do not have much experience with the use of submarines so we must learn all that we can.;We should plan tactics for raiding enemy convoys while minimizing our own losses. We do not have much experience with the use of submarines so we must learn all that we can.;We should plan tactics for raiding enemy convoys while minimizing our own losses. We do not have much experience with the use of submarines so we must learn all that we can.;;x
EVT_292021_ACTIONA;I think the ships have to be underwater for the torpedos to work...?;I think the ships have to be underwater for the torpedos to work...?;I think the ships have to be underwater for the torpedos to work...?;I think the ships have to be underwater for the torpedos to work...?;I think the ships have to be underwater for the torpedos to work...?;I think the ships have to be underwater for the torpedos to work...?;I think the ships have to be underwater for the torpedos to work...?;I think the ships have to be underwater for the torpedos to work...?;I think the ships have to be underwater for the torpedos to work...?;;x
EVT_292022_NAME;Improved Torpedo Designs;Improved Torpedo Designs;Improved Torpedo Designs;Improved Torpedo Designs;Improved Torpedo Designs;Improved Torpedo Designs;Improved Torpedo Designs;Improved Torpedo Designs;Improved Torpedo Designs;;x
