##;HEARTS OF IRON!;;;;;;;;;;X,
##;;;;;;;;;;;X,
##;;;;;;;;;;;X,
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X,
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X,
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X,
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X,
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X,
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost column while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X,
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X,
##;;;;;;;;;;;X,
##;;;;;;;;;;;X,
##;NOTES TO TRANSLATORS:;;;;;;;;;;X,
##;=====================;;;;;;;;;;X,
##;;;;;;;;;;;X,,,,,
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X,,,
##;2) '%d' is for indicating where another integer value is inserted, and MAY NEVER BE REMOVED! If there are more than one '%d' in a string, they may not change places. ('%.1f' is used in exactly the same way but for non-integer values ?  '%c%d' is used for values that are displayed with a '+' or '-' sign in front, DO NOT CHANGE, ADD, OR REMOVE!);;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X,,,,
##;4) The characters '#' (hashmark), semicolon, '%' (percentage sign), '?' (paragraph sign), quotation marks and '\' (backslash) MAY NOT BE USED (except when used as control codes ? this will otherwise create serious problems!!! Quotation marks may not even be used in comments -- use a 'citation mark' (single) instead if necessary!);;;;;;;;;;X,
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X,,,,
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X,,,,
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X,,,,
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X,,,,
##;§W = white text;;;;;;;;;;X,,,,,
##;§Y = orange text;;;;;;;;;;X,,,,,
##;Note that the color change will be applied to all words after the code, until the end of the line that the word is printed on. If several words should have a color change, put the code in front of each of them to be on the safe side. If only one word should have a color change, make sure to reset the color after the word.;;;;;;;;;;X,,
##;9) Unless otherwise specifically stated, length of words and texts does not really matter THAT much (message boxes, rollover help boxes and buttons WILL stretch to fit the text string) ? however you will notice once the translation is inserted that space IS limited in quite a few areas? so be brief, and try not to use words that are considerably longer than the english original.;;;;;;;;;;X,,
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X,,,,,
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X,,,,,
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not not exported into the actual text database file);;;;;;;;;;X,,,,
##;;;;;;;;;;;X,
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X,
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X,
##;;;;;;;;;;;X,
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X,
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X,
EURONET_PLAYER_LIST_HEADLINE;PLAYERLIST;LISTE DES JOUEURS;ELENCO GIOCATORI;LISTA JUGADORES;SPIELERLISTE;Lista graczy;;;;;X
EURONET_CURRENT_GAMES_HEADLINE;CURRENT GAMES;PARTIES EN COURS;PARTITE IN CORSO;PARTIDAS ACTUALES;MOMENTANE SPIELE;Bie¿¹ce gry;;;;;X
EURONET_GAME_INFO;GAME INFO;INFOS PARTIE;INFORMAZIONI;INFORMACIÓN PARTIDA;SPIELINFO;Informacje o grze;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
###########################################;;;;;;;;;;;X
# THESE CAN PROBABLY BE SCRAPPED? ##;;;;;;;;;;;X
###########################################;;;;;;;;;;;X
##;;;;;;;;;;;X
IWPTLIMIT;§YAvailable in Total;§YDisponibles en tout;§Ytotali disponibili;§Ydispon. en total;§Yinsgesamt verfügbar;§Y Dostêpnych razem;;;;;X
##;;;;;;;;;;;X
#  DIPLOMACY TEXT STRINGS;;;;;;;;;;;X
##;;;;;;;;;;;X
DYNASTIC;Royal Marriage;Mariage royal;Matrimonio regale;Matrimonio real;Königliche Heirat;Ma³¿eñstwo królewskie;;;;;X
MILALL;Military Alliance;Alliance militaire;Alleanza militare;Alianza militar;Militärbündnis;Sojusz;;;;;X
VASSALI;Vassalization;Vassalisation;Vassallaggio;Pacto vasallaje;Vasallisierung;Poddañstwo;;;;;X
ANNEX;Annexation;Annexion;Annessione;Anexión;Annektierung;Aneksja;;;;;X
WARALL;War faction;Faction guerrière;Fazione;Facción guerra;Kriegspartei;Strona konfliktu;;;;;X
SENDDIPLO;Send Diplomat;Envoyer un diplomate;Invia un diplomatico;Enviar diplom.;Diplomat entsenden;Wyœlij dyplomatê;;;;;X
ACPTSALC;accepts the alliance;rejoint l'alliance;accetta l'alleanza;acepta la alianza;akzeptiert das Bündnis;akceptuje sojusz;;;;;X
DECALC;declines the alliance;décline l'offre d'alliance;rifiuta l'alleanza;rehúsa la alianza;lehnt das Bündnis ab;odrzuca sojusz;;;;;X
CNCLALC;cancels your alliance;annule l'alliance;annulla la tua alleanza;cancela tu alianza;löst Ihr Bündnis auf;wypowiada Twój sojusz.;;;;;X
HSOFFRD;has offered you an;vous propose;ti ha proposto:;te ha ofrecido:;machte Ihnen ein Angebot über;zaoferowa³ Ci;;;;;X
ACCEPT;Accept Alliance;Rejoindre l'alliance;Accetta l'alleanza;Aceptar alianza;Bündnis akzeptieren;Akceptuj sojusz;;;;;X,,
DECLINE;Decline Alliance;Décliner l'offre d'alliance;Rifiuta l'alleanza;Rehusar alianza;Bündnis ablehnen;Odrzuæ sojusz;;;;;X,,
CANCELPREV;Cancel Previous Alliance;Annuler l'alliance précédente;Annulla un'alleanza precedente;Cancelar alianza anterior;Voriges Bündnis auflösen;Wypowiedz poprzedni sojusz;;;;;X,,
DCLRWAR;Declare War;Déclarer la guerre;Dichiara guerra;Declarar la guerra;Krieg erklären;Wypowiedz wojnê;;;;;X,,
##;;;;;;;;;;;X,,
#  Game messages in dialog boxes;;;;;;;;;;;X,,
##;;;;;;;;;;;X,,
#  resource names derived from manufactories;;;;;;;;;;;X,,
##;;;;;;;;;;;X,,
# String on top of screen when adding opponents to an alliance;;;;;;;;;;;X,,
ADDAND;AND;ET;E;Y;UND;i;;;;;X,,
ADDOPP1;Select what country(s) the;Désignez la ou les nations contre;Scegli la nazione (o le nazioni),;Selecciona el país o países;Wählen Sie, welches Land der/die/das;Wybierz kraj(e) przeciw;;;;;X
ADDOPP2;alliance should work against;lesquelles l'alliance doit se lever;contro cui debba scagliarsi l'alleanza.;contra los que irá la alianza;Bündnis sollte arbeiten gegen;którym bêdzie dzia³a³ sojusz;;;;;X,,
CANTALLYAGAINST;You cannot ally against that country;Vous ne pouvez pas vous allier contre cette nation;Non puoi allearti contro questa nazione.;No puedes aliarte contra este país;Sie können sich nicht gegen dieses Land verbünden;Nie mo¿esz stworzyæ sojuszu przeciw temu krajowi;;;;;X,,
CANTALLY5;You can only target 5 countries;Vous ne pouvez désigner que 5 nations;Puoi selezionare fino a un massimo di 5 nazioni.;El objetivo máximo es de 5 países;Sie können nur 5 Länder ins Ziel nehmen;Mo¿esz wybraæ tylko 5 krajów;;;;;X,,
##;;;;;;;;;;;X,,
CANTSENDTRADER1;Sire, this province produces nothing of value for a trading post;Cette province n’a aucune production de valeur pour un comptoir de brousse;Sire, questa provincia non produce alcuna merce di valore per un centro di commercio.;Señor, esta provincia no produce nada de valor para un est. comercial;Sir, diese Provinz produziert nichts, was die Errichtung eines Handelsstützpunkts lohnen würde;Sir, ta prowincja nie produkuje nic co przedstawia wartoœæ dla placówki handlowej;;;;;X
CANTSENDMER;Cannot send merchant here;Impossible d’envoyer un marchand ici;Non puoi inviare qui un mercante.;No puedes enviar un comerc. aquí;Kann Händler nicht hierhin senden;Nie mo¿esz tam wys³aæ handlowców.;;;;;X,,,,,,
SNDMERCHANT;Send merchant to %s at a cost of %d$?;Envoyer un marchand à %s pour un prix de %d$ ?;Vuoi inviare un mercante a %s per %d$?;¿Enviar un comerc. a %s al coste de %d $?;Händler für %d$ nach %s schicken?;Wyœlij handlowca do %s za %d$?;;;;;X,,,,,,
SNDTRADER1;Send trader to %s;Envoyer un négociant à %s;Vuoi inviare un commerciante a %s;¿Enviar comerc. a %s;Händler nach %s entsenden;Wyœlij handlowca do %s;;;;;X,,,,,,
SNDTRADER2;with %d/100 Chance of Success at a cost of %d$?;avec %d/100 de chances de succès pour le prix de %d$ ?;con %d probabilità su 100 di avere successo, per %d$?;con probab. de éxito de %d/100 al precio de %d $?;mit %d/100-prozentiger Erfolgschance zu Kosten von %d$?;z %d \%% szans¹ sukcesu za %d$?;;;;;X,,,,,
SNDTRADER3;Time Required: %d months;Temps nécessaire: %d mois;Tempo necessario: %d mesi;Tiempo neces.: %d meses;Erforderliche Zeit: %d Monate;Wymagany czas: %d miesiêcy;;;;;X,,,,,,
##;;;;;;;;;;;X,,,,,,
#  (TOGGLE land / naval info win;;;;;;;;;;;X,,,,,,
MILWLANDTOG;VIEW LAND;VOIR NATION;VISUALIZZA LA TERRA;VER TERR.;LAND ANZEIGEN;Pokazuj dane l¹dowe;;;;;X,,,,,,
MILWNAVTOG;VIEW NAVAL;VOIR FLOTTE;VISUALIZZA LE NAVI;VER NAVAL;MARINE ANZEIGEN;Pokazuj dane morskie;;;;;X,,,,,,
##;;;;;;;;;;;X,,,,,,
DWCANTJOIN;You can't ask to join their alliance!;Vous ne pouvez rejoindre leur alliance !;Non puoi chiedere di unirti alla loro alleanza!;No puedes pedir unirte a su alianza.;Sie können nicht um Teilnahme an ihrem Bündnis bitten!;Nie mo¿esz zapraszaæ do cudzego sojuszu.;;;;;X,,,,,,
DWCANTINVITE;You can't ask to join their alliance!;Vous ne pouvez rejoindre leur alliance !;Non puoi chiedere di unirti alla loro alleanza!;No puedes pedir unirte a su alianza.;Sie können nicht um Teilnahme an ihrem Bündnis bitten!;Nie mo¿esz zapraszaæ do cudzego sojuszu.;;;;;X,,,,,,
DWADDOPPOTITEL1;Propose;Proposer;Proponi;Proponer;Vorschlag;Zaproponuj;;;;;X,,,,,,
DWADDOPPOTITEL2;New Alliance;Nouvelle alliance;Nuova alleanza;nueva alianza;Neues Bündnis;nowy sojusz;;;;;X,,,,,,
DWSIRE;Sire!;Monsieur !;Sire!;¡Señor!;Sir!;Sir!;;;;;X,,,,,,
DWSEL1;Select opponents of your proposed;Désignez les adversaires de votre;Scegli gli avversari della tua proposta;Selecciona los adversarios de la;Wählen Sie Gegner Ihres vorgeschlagenen;Wybierz sojuszników;;;;;X,,,,,
DWSEL2;Military Alliance with;alliance militaire avec;Alleanza militare con ;alianza militar propuesta a;Militärbündnis mit;do zawi¹zania sojuszu;;;;;X,,,,,
DWVERSUS;versus;contre;contro;contra;gegen;przeciw;;;;;X,,,,,
##;;;;;;;;;;;X,,,,,
DIPSTATUS;Ask for Status;Demander statut;Chiedi lo stato;Solic. estado;Bitten Sie um Status;Zapytaj o status;;;;;X,,,,,
DIPASKRTR;Ask to initiate Trade Embargo;Demander à initier un embargo commercial;Chiedi di dare inizio a un embargo commerciale;Pedir inicio de embargo comercial;Bitten Sie darum, ein Handelsembargo zu veranlassen;Zaproponuj na³o¿enie embarga;;;;;X,,,,
DIPASKPEA;Ask to Offer Peace;Demander à proposer la paix;Chiedi di offrire la pace;Pedir que se ofr. paz;Bitten Sie um ein Friedensangebot;Zaproponuj ofertê pokojow¹;;;;;X,,,,,
DIPASKLN;Ask to Leave Nation alone;Demander à préserver la nation;Chiedi di lasciare in pace la nazione;Pedir que se deje una nación;Bitten Sie darum, die Nation in Ruhe zu lassen;Poproœ o pozostawienie pañstwa w spokoju;;;;;X,,,,
DIPASKWAR;Ask to Declare War;Demander à déclarer la guerre;Chiedi di dichiarare guerra;Pedir que se decl. guerra;Bitten Sie um Kriegserklärung;Poproœ o wypowiedzenie wojny;;;;;X,,,,,
DIPASKLA;Ask to Leave Area Alone;Demander à quitter la zone;Chiedi di lasciare in pace la zona;Pedir que se deje área;Bitten Sie darum, das Gebiet in Ruhe zu lassen;Poproœ o pozostawienie terytorium w spokoju;;;;;X,,,,
DIPASKHA;Ask to Hold Area;Demander à tenir la zone;Chiedi di tenere sotto controllo la zona;Pedir que se mant. área;Bitten Sie darum, das Gebiet zu halten;Poproœ o przejêcie terenu;;;;;X,,,,
DIPASKLOA;Ask for Economic Aid;Demander une aide économique;Chiedi un aiuto economico;Solic. ayuda económica;Bitten Sie um Wirtschaftshilfe;Poproœ o pomoc gospodarcz¹;;;;;X,,,,,
##;;;;;;;;;;;X,,,,,
# Diplomat errors;;;;;;;;;;;X,,,,,
DIPOURSELVES;Sire, we can't send diplomats to ourselves.;Nous ne pouvons nous envoyer de diplomates !;Sire, non possiamo inviare dei diplomatici a noi stessi!;Señor, no podemos enviarnos diplomáticos a nosotros mismos.;Sir, wir können Diplomaten nicht zu uns selbst schicken.;Sir, nie mo¿emy wys³aæ dyplomatów do siebie.;;;;;X
DIPIMPOSSIBLE;Sire, don't be ridiculous!;Ne soyez pas ridicule !;Sire, non sia ridicolo!;Señor, no seas ridículo.;Sir, seien Sie nicht lächerlich!;Niech pan nie bêdzie œmieszny, sir!;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
GAME_END_QUIT;You quit the game.;Vous avez quitté la partie.;Hai abbandonato la partita.;Sales de la partida.;Spiel beendet.;Opuœci³eœ grê.;;;;;x
GAME_END_ELIMINATED;You were eliminated.;Vous avez été éliminé.;Sei stato eliminato.;Has sido eliminado.;Sie wurden eliminiert.;Zosta³eœ wyeliminowany.;;;;;x
GAME_END_AXIS_VICTORY;The game ended in an axis victory.;La partie s'achève sur une victoire de l'Axe.;La partita è terminata con la vittoria dell'Asse.;La partida termina con victoria del Eje.;Das Spiel endete mit einem Sieg der Achsenmächte.;Gra zakoñczy³a siê zwyciêstwem pañstw Osi.;;;;;x
GAME_END_AXIS_TOTAL;The game ended in a total victory for the axis.;La partie s'achève sur une victoire totale de l'Axe.;La partita è terminata con la totale vittoria dell'Asse.;La partida termina con victoria total para el Eje.;Das Spiel endete mit einem totalen Sieg der Achsenmächte.;Gra zakoñczy³a siê ca³kowitym zwyciêstwem pañstw Osi.;;;;;x
GAME_END_ALLIES_VICTORY;The game ended in an allies victory.;La partie s'achève sur une victoire des Alliés.;La partita è terminata con la vittoria alleata.;La partida termina con victoria de los Aliados.;Das Spiel endete mit einem Sieg der Alliierten.;Gra zakoñczy³a siê zwyciêstwem Aliantów.;;;;;x
GAME_END_ALLIES_TOTAL;The game ended in a total victory for the allies.;La partie s'achève sur une victoire totale des Alliés.;La partita è terminata con la totale vittoria alleata.;La partida termina con victoria total para los Aliados.;Das Spiel endete mit einem totalen Sieg der Alliierten.;Gra zakoñczy³a siê ca³kowitym zwyciêstwem Aliantów.;;;;;x
GAME_END_COMMIES_VICTORY;The game ended in an comintern victory.;La partie s'achève sur une victoire du Komintern.;La partita è terminata con la vittoria del Comintern.;La partida termina con victoria para el Comintern.;Das Spiel endete mit einem Sieg der Komintern.;Gra zakoñczy³a siê zwyciêstwem Kominternu.;;;;;x
GAME_END_COMMIES_TOTAL;The game ended in a total victory for the comintern.;La partie s'achève sur une victoire totale du Komintern.;La partita è terminata con la totale vittoria del Comintern.;La partida termina con victoria total para el Comintern.;Das Spiel endete mit einem totalen Sieg der Komintern.;Gra zakoñczy³a siê ca³kowitym zwyciêstwem Kominternu.;;;;;x
##;;;;;;;;;;;x
##;;;;;;;;;;;X
GAME_SURRENDER;You surrendered!;Vous vous êtes rendu !;Ti sei arreso!;Te has rendido.;Sie haben sich ergeben!;Skapitulowa³eœ!;;;;;X
##;;;;;;;;;;;X,,,
GAME_LOSER_MISSION;;;;;;;;;;;X,,,
GAME_WINNER_MISSION;;;;;;;;;;;X,,,
##;;;;;;;;;;;X,,,
##;;;;;;;;;;;X,,,
##;;;;;;;;;;;X,,,
##;;;;;;;;;;;X,,,
##;;;;;;;;;;;X,,,
##;;;;;;;;;;;X,,,
##;;;;;;;;;;;X,,,
CONTROLL_YOUR;You will win the game when you control all the following provinces: %s.;Vous remportez la partie si vous contrôlez les provinces suivantes: %s.;Per vincere la partita, devi controllare tutte le seguenti province: %s.;Ganarás la partida cuando controles todas las provincias siguientes: %s.;Sie haben das Spiel gewonnen, wenn Sie jede der folgenden Provinzen kontrollieren: %s.;Aby wygraæ, musisz kontrolowaæ nastêpuj¹ce prowincje: %s.;;;;;X
CONTROLL_OTHER;Will win by controlling all these provinces: %s.;Remportera la partie s'il contrôle toutes ces provinces: %s.;Vincerà chi riuscirà a controllare tutte le seguenti province: %s.;Ganará cuando controle todas estas provincias: %s.;Sieg durch Kontrolle aller folgenden Provinzen: %s.;Aby wygraæ, musisz kontrolowaæ nastêpuj¹ce prowincje: %s.;;;;;X,,
MISS_INFO;Mission Information;Informations sur la mission;Informazioni sulla missione;Info. misión;Missionsinformationen;Informacje o misji;;;;;X,,,
##;;;;;;;;;;;X,,,
##;;;;;;;;;;;X,,,
#  ROLLOVER of Event Commands;;;;;;;;;;;X,,,
##;;;;;;;;;;;X,,,,,,,,,,,,,
##;;;;;;;;;;;X,,,,,,,,,,,,,
EVENTBUTTON_INFO;(For effects on your decision, check the information appearing when you move the mouse over the button.);(Déplacez votre curseur sur le bouton pour afficher les informations relatives aux conséquences de votre décision);(Per conoscere gli effetti delle diverse opzioni, controlla l'informazione che appare posizionando il puntatore su di essa);(A efectos de tu decisión, consulta la información que aparezca cuando pases el ratón por encima del botón).;(Für die Auswirkungen auf Ihre Entscheidung lesen Sie bitte die Informationen, welche erscheinen, wenn Sie den Mauszeiger über die Schaltfläche bewegen.);(Aby sprawdziæ, jakie skutki bêd¹ mia³y Twoje decyzje, przeczytaj informacje ukazuj¹ce siê, gdy przesuwasz wskaŸnik myszy nad przyciskiem);;;;;X,,,,,
##;;;;;;;;;;;X,,,,,,,,,,,,,
##################################;;;;;;;;;;;X,,,,,,,,,,,,,
DIP_PUPPET_SHORT;Is a puppet of %s.;est un état fantoche sous le contrôle de %s.;è un fantoccio di %s.;Es un títere de %s.;Marionettenstaat von %s.;Jest pañstwem satelickim kraju: %s.;;;;;X,,,,,,,,,,,,,
DIP_PUPPET;%s is a puppet of %s.;%s est un état fantoche sous le contrôle de %s.;%s è un fantoccio di %s.;%s es un títere de %s.;%s ist ein Marionettenstaat von %s.;%s jest pañstwem satelickim kraju %s.;;;;;X,,,,,,,,,,,,,
DIP_PURPUPPET;%s controls %s as a puppet.;%s contrôle %s par le biais d'un gouvernement fantoche.;%s comanda %s come un burattino.;%s controla a %s como títere.;%s kontrolliert %s als seine Marionette.;%s kontroluje pañstwo: %s jako swojego satelitê.;;;;;X,,,,,,,,,,,,,
DIP_NON_AGGRESSION;%s has a non-aggression pact with %s.;%s a un pacte de non-agression avec %s.;%s ha stipulato un patto di non belligeranza con %s.;%s tiene un pacto de no agresión con %s.;%s hat einen Nichtangriffspakt mit %s.;%s: podpisany pakt o nieagresji z: %s.;;;;;X,,,,,,,,,,,,,
DIP_GOV;%s is %s.;%s est %s.;%s è %s.;%s es: %s.;%s ist %s.;%s jest %s.;;;;;X,,,,,,,,,,,,,
WM_OURS;Own at Top;Offres;Possesso;Tuyo arriba;Eigenes ganz oben;W³asne na górze.;;;;;x,,,,,,,,,,,,,
WM_NAME;Amount;Quantité;Quantità;Cant.;Menge;Iloœæ;;;;;x,,,,,,,,,,,,,
WM_PRIO;Priority;Priorité;Priorità;Prioridad;Priorität;Priorytet;;;;;x,,,,,,,,,,,,,
EYR_PUPPET;From Puppets;Des gouvernements fantoches;Dai fantocci;De títeres;Von Marionetten geliefert;Z pañstw satelickich;;;;;x,,,,,,,,,,,,,
EYR_OVERLORD;Sent to Overlords;A la nation qui contrôle le pays;Ai signori e padroni;Enviado a nación que controla país;An die Oberherren senden;Wys³ane do suwerena;;;;;x,,,,,,,,,,,,,
UIW_OUT_OF_RANGE2;This unit has ships which have travelled %.f km, which is further than their maximum range of %.f km.  (Last based in %s, from where supplies and oil are traced.);Des navires de cette unité ont parcouru plus de %.f Km, ce qui est au-delà de leur autonomie maximale de %.f Km. (dernière arrêt: %s, d'où proviennent ravitaillements et pétrole.);Le navi di questa unità hanno percorso %.f km, molto più della distanza massima di %.f km (calcolando l'ultimo rifornimento effettuato in %s).;Esta unidad tiene naves que han recorrido %.f km, que es superior al radio de acción máximo de %.f km (última base en %s, desde donde se trazan suministros y comb.).;In dieser Einheit befinden sich Schiffe, die %.f km weit gefahren sind. Dies übersteigt die Maximalreichweite von %.f km. (Zuletzt stationiert in %s, von dort werden Nachschub und Öl bezogen.).;Ta jednostka zawiera statki, które przep³ynê³y %.f km, czyli dalej, ni¿ wynosi ich maksymalny zasiêg %.f km. (Statki bazuj¹ w %s, sk¹d otrzymuj¹ zaopatrzenie i ropê);;;;;x
UIW_IN_RANGE2;Ships in this unit have travelled %.f km, and this unit has a maximum range of %.f km.  (Last based in %s, from where supplies and oil are traced.);Les navires de cette unité ont parcouru plus de %.f Km, sur leur autonomie maximale de %.f Km. (dernière arrêt: %s, d'où proviennent ravitaillements et pétrole.);Le navi di questa unità hanno percorso %.f km. La distanza massima percorribile è di %.f km (calcolando l'ultimo rifornimento effettuato in %s).;Naves de esta unidad han recorrido %.f km, y la unidad tiene un radio de acción máximo de %.f km (última base en %s, desde donde se trazan suministros y comb.).;Die Schiffe dieser Einheit sind %.f km weit gefahren. Diese Einheit hat eine Maximalreichweite von %.f km. (Zuletzt stationiert in %s, von dort werden Nachschub und Öl bezogen.);Statki w tej flotylli przep³ynê³y %.f km, czyli dalej ni¿ wynosi maksymalny zasiêg flotylli - %.f km. (Statki bazuj¹ w %s, sk¹d otrzymuj¹ zaopatrzenia i ropê);;;;;x
NUW_DIV;%d flotillas;%d flottilles;%d flotte;%d flotillas;%d Flottillen;%d flotylli;;;;;x,,,,,,,,,
AUW_DIV;%d squadrons;%d escadrons;%d squadroni;%d escuadrones;%d Staffeln;%d eskadr;;;;;x,,,,,,,,,
T_DIVISIONS;divisions;divisions;divisioni;divisiones;Divisionen;dywizje;;;;;x,,,,,,,,,
T_DIVISION;division;division;divisione;división;Division;dywizja;;;;;x,,,,,,,,,
T_AIR_DIVISIONS;air divisions;divisions aériennes;divisioni aeree;divis. aéreas;Luftwaffendivisionen;eskadry;;;;;x,,,,,,,,,
T_AIR_DIVISION;air division;division aérienne;divisione aerea;divis. aérea;Luftwaffendivision;eskadra;;;;;x,,,,,,,,,
T_AIR_WINGS;air wings;escadrilles;Squadroni aerei;escuad. aéreas;Fliegerstaffeln;skrzyd³a lotnicze;;;;;x,,,,,,,,,
T_AIR_WING;air wing;escadrille;Squadrone aereo;escuad. aérea;Fliegerstaffel;skrzyd³o lotnicze;;;;;x,,,,,,,,,
T_ARMY_CORPS;army corps;corps d'armée;corpi dell'esercito;cuerpo ej.;Armeekorps;korpus;;;;;x,,,,,,,,,
T_BOMBER;bomber;bombardier;bombardiere;bombard.;Bomber;bombowiec;;;;;x,,,,,,,,,
T_DAYS;days;jours;giorni;días;Tage;dni;;;;;x,,,,,,,,,
T_IC;IC;PP;PI;CI;IK;PP;;;;;x,,,,,,,,,
T_CAPITAL_SHIPS;capital ships;navire-amiraux;navi principali;grandes unidades;Großkampfschiffe;okrêty g³ówne;;;;;x,,,,,,,,,
T_CAPITAL_SHIP;capital ship;navire-amiral;nave principale;gran unidad;Großkampfschiff;okrêt g³ówny;;;;;x,,,,,,,,,
T_SQUADRONS;squadrons of small ships;escadres de petits navires;squadroni di navi piccole;escuadras buques ligeros;Kleinschiff-Flottille;grupy ma³ych okrêtów;;;;;x,,,,,,,,,
T_SQUADRON;squadron of small ships;escadre de petits navires;squadrone di navi piccole;escuadra buques ligeros;Kleinschiff-Flottille;grupa ma³ych okrêtów;;;;;x,
DET_REPORT;Reconnaissance reports:;Rapport de reconnaissance:;Rapporti dei ricognitori:;Informe reconocimiento:;Aufklärung berichtet:;Raporty zwiadowcze:;;;;;x,
REB;Partisans;Partisans;Partigiani;Partisanos;Partisanen;Partyzanci;;;;;x,
KPVALUE;The victory points value of this province.;La quantité de points de victoire rapportée par cette province.;Il valore in punti vittoria di questa provincia.;Valor de la provincia en puntos de victoria.;Der Siegespunktewert dieser Provinz.;Iloœæ punktów zwyciêstwa dla tej prowincji.;;;;;x,
MANPOWER_DRO;Daily increase of %.2f manpower.;Croissance quotidienne de la main d’œuvre: %.2f.;Incremento giornaliero di %.2f di forza lavoro.;Incremento diario de %.1f rec. hum.;Tägliche Steigerung um %.2f Wehrfähige.;Dzienny przyrost zasobów ludzkich: %.2f;;;;;X,
MANPOWER_DC;Daily reinforcements drains %.2f of manpower. We currently need %.2f manpower to reinforce all our forces to maximum strength.;Le renforcement quotidien draine %.2f de main d’œuvre. Il nous faut actuellement %.2f de main d’œuvre pour renforcer toutes nos forces de manière à leur redonner une force maximale.;Esaurimento dei rinforzi giornalieri pari al %.2f della forza lavoro Abbiamo attualmente bisogno di %.2f di forza lavoro per ripristinare al massimo le nostre armate.;Los refuerzos diarios consumen %.2f de rec. hum. Necesitamos actualmente %.2f de rec. hum. para reforzar al máximo todas nuestras fuerzas.;Die täglichen Verstärkungen kosten uns %.2f Wehrfähige. Wir benötigen insgesamt %.2f Wehrfähige um unsere Truppen wieder aufs Maximum zu bringen.;Dziennie uzupe³nienia dla naszych wojsk zu¿ywaj¹ %.2f j. zasobów ludzkich. Aktualnie potrzebujemy %.2f j. zasobów ludzkich, aby dokonaæ maksymalnych uzupe³nieñ dla wszystkich jednostek.;;;;;X
##;;;;;;;;;;;x,
FB_IND;constructing more industries;Construction de plus d'industries;di costruire altre industrie;construyendo más industrias;Mehr Industrien werden gebaut;buduje wiêcej fabryk;;;;;x,
FB_CF;improving our coastal fortifications;Amélioration des défenses côtières;di migliorare le nostre fortificazioni costiere;mejorando nuestras fortif. costeras;Unsere Küstenbefestigungen werden verbessert;rozbudowuje fortyfikacje nadbrze¿ne;;;;;x,
FB_LF;improving our fortifications;Amélioration des fortifications;di migliorare le nostre fortificazioni;mejorando nuestras fortif.;Unsere Befestigungen werden verbessert;rozbudowuje fortyfikacje;;;;;x,
FB_AA;constructing more anti-aircraft guns;Construction de batteries de DCA;di costruire altri cannoni contraerei;construyendo más artillería antiaérea;Mehr Flugabwehrgeschütze werden aufgestellt;rozmieszcza baterie przeciwlotnicze;;;;;x,
FB_INF;improving the infrastructure;Amélioration des infrastructures;di migliorare l'infrastruttura;mejorando la infraestructura;Infrastruktur wird verbessert;rozbudowuje infrastrukturê;;;;;x,
##;;;;;;;;;;;X,
